DataKey,Date,Length,week,Comments,GeneticSex,AssignType,Adipose,GenPBT_Rgroup,Stock,BY,Basin,GenStock,GenStockProb,Big,Month,GenPa,GenMa
OmyZON623S_0043,44796,865,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999999457,Large,8,OmyDWOR19S_0307,OmyDWOR19S_0070
OmyZON623S_0046,44796,650,1,,F,PBT,AD,2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2019,Snake,MGILCS,0.984641211,Small,8,OmyWALL19S_0546,OmyWALL19S_0509
OmyZON623S_0048,44796,755,1,,M,PBT,AD,2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2019,Snake,MGILCS,0.999215258,Small,8,OmyWALL19S_0701,OmyWALL19S_0653
OmyZON623S_0202,44796,690,1,,F,PBT,AD,2019-NIAG-PAHS-PahsimeroiR-AdClip,Pahsimeroi,2019,Snake,UPSALM,0.662342842,Small,8,OmyPAHH19S_0271,OmyPAHH19S_0871
OmyZON623S_0001,44797,720,1,,M,GSI,AD,Unassigned,MGILCS,,MGILCS,MGILCS,0.954547199,Small,8,NA,NA
OmyZON623S_0041,44797,695,1,,M,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.467817519,Small,8,OmyWellsPBT19-0013,OmyWellsPBT19-0108
OmyZON623S_0199,44797,715,1,,F,PBT,AD,2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2019,Snake,MGILCS,0.849437118,Small,8,OmyWALL19S_0656,OmyWALL19S_0685
OmyZON623S_0040,44803,860,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999919733,Large,8,OmyDWOR19S_0147,OmyDWOR19S_0005
OmyZON623S_0080,44803,830,1,,M,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.805786209,Large,8,OmyDWOR19S_0720,OmyDWOR19S_0467
OmyZON623S_0081,44803,845,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999922351,Large,8,OmyDWOR19S_0198,OmyDWOR19S_0052
OmyZON623S_0082,44803,890,1,,M,PBT,AD,2019-DWOR-DWOR-ClearCr-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999963731,Large,8,OmyDWOR19S_0370,OmyDWOR19S_0233
OmyZON623S_0129,44803,740,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999998,Small,8,OmyPBT19SkSU-2011,OmyPBT19SkSU-2015
OmyZON623S_0131,44803,820,1,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999422314,Large,8,OmyDWOR19S_0771,OmyDWOR19S_1353
OmyZON623S_0133,44803,710,1,,F,PBT,AD,2019-NIAG-OXBO-LittleSalmonR-AdClip,Oxbow,2019,Snake,UPSALM,0.694950018,Small,8,OmyOXBO19S_0042,OmyOXBO19S_0342
OmyZON623S_0134,44803,750,1,,F,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.931140672,Small,8,OmyWellsPBT19-0162,OmyWellsPBT19-0223
OmyZON623S_0136,44803,670,1,,F,PBT,AD,2019-HNFH-SAWT-SawtoothFH-AdClip,Sawtooth,2019,Snake,UPSALM,0.995738447,Small,8,OmySAWT19S_0225,OmySAWT19S_0725
OmyZON623S_0138,44803,730,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999988729,Small,8,OmyPBT19SkSU-2003,OmyPBT19SkSU-2006
OmyZON623S_0141,44803,680,1,,F,PBT,AD,2019-IRRI-WALL-WallowaR,Wallowa-OR,2019,Snake,MGILCS,0.992359314,Small,8,OmyWALL19S_0579,OmyWALL19S_0592
OmyZON623S_0142,44803,730,1,,F,PBT,AD,Wenatchee2019,Wenatchee,2019,Up-C,MGILCS,0.774527018,Small,8,OmyPBT19EASTBK_0013,OmyPBT19EASTBK_0211
OmyZON623S_0145,44803,690,1,,F,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.757070614,Small,8,OmyWellsPBT19-0183,OmyWellsPBT19-0249
OmyZON623S_0147,44803,680,1,,F,PBT,AD,2019-IRRI-IMNA-Imnaha,Imnaha,2019,Snake,MGILCS,0.902180181,Small,8,OmyLSCR19S_0009,OmyLSCR19S_0013
OmyZON623S_0149,44803,860,1,,M,GSI,AD,Unassigned,SFCLWR,,Snake,SFCLWR,0.963314671,Large,8,NA,NA
OmyZON623S_0151,44803,830,1,,F,PBT,AD,2019-CLWH-SFCR-RedHouse-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.999738311,Large,8,OmyDWOR19S_1147,OmyDWOR19S_1323
OmyZON623S_0153,44803,540,1,,M,PBT,AD,2020-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2020,Snake,UPSALM,0.528650063,Small,8,OmyLYON20S_0012,OmyLYON20S_0017
OmyZON623S_0155,44803,790,1,,M,GSI,AD,Unassigned,MGILCS,,MGILCS,MGILCS,0.897881948,Large,8,NA,NA
OmyZON623S_0178,44803,545,1,,F,PBT,AD,2020-IRRI-WALL-WallowaR,Wallowa-OR,2020,Snake,MGILCS,0.858158241,Small,8,OmyWALL20S_0331,OmyWALL20S_0325
OmyZON623S_0182,44803,830,1,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.99998389,Large,8,OmyDWOR19S_0199,OmyDWOR19S_0053
OmyZON623S_0183,44803,800,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999892744,Large,8,OmyDWOR19S_0164,OmyDWOR19S_0004
OmyZON623S_0184,44803,800,1,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.99999446,Large,8,OmyDWOR19S_0126,OmyDWOR19S_0026
OmyZON623S_0185,44803,715,1,,F,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.527723428,Small,8,OmyWellsPBT19-0144,OmyWellsPBT19-0205
