DataKey,Date,Length,week,Comments,GeneticSex,AssignType,Adipose,GenPBT_Rgroup,Stock,BY,Basin,GenStock,GenStockProb,Big,Month,GenPa,GenMa
OmyCOLU23S_0461,44728,640,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999913,Small,6,NA,NA
OmyCOLU23S_0462,44728,720,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.997882679,Small,6,NA,NA
OmyCOLU23S_0463,44728,680,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999991824,Small,6,NA,NA
OmyCOLU23S_0464,44728,720,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999952,Small,6,NA,NA
OmyCOLU23S_0465,44728,750,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999974748,Small,6,NA,NA
OmyCOLU23S_0466,44728,690,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.996361923,Small,6,NA,NA
OmyCOLU23S_0570,44728,740,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999793782,Small,6,NA,NA
OmyCOLU23S_0571,44728,780,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999945108,Large,6,NA,NA
OmyCOLU23S_0572,44728,640,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.99509567,Small,6,NA,NA
OmyCOLU23S_0988,44729,690,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999975662,Small,6,NA,NA
OmyCOLU23S_0989,44729,750,1,This individual failed to genotype,,Fail,AD,,,,,,,Small,6,,
OmyCOLU23S_0412,44730,720,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999593,Small,6,NA,NA
OmyCOLU23S_0413,44730,620,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999121,Small,6,NA,NA
OmyCOLU23S_0414,44730,650,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999998884,Small,6,NA,NA
OmyCOLU23S_0415,44730,720,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999957093,Small,6,NA,NA
OmyCOLU23S_0417,44730,710,1,,F,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999922,Small,6,OmyPBT19SkSU-2351,OmyPBT19SkSU-2354
OmyCOLU23S_0419,44730,730,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999566,Small,6,OmyPBT19SkSU-2411,OmyPBT19SkSU-2415
OmyCOLU23S_0420,44730,690,1,,F,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999143,Small,6,OmyPBT19SkSU-2492,OmyPBT19SkSU-2495
OmyCOLU23S_0421,44730,750,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.965619358,Small,6,NA,NA
OmyCOLU23S_0422,44730,720,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999999,Small,6,OmyPBT19SkSU-2492,OmyPBT19SkSU-2495
OmyCOLU23S_0423,44730,720,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.998571739,Small,6,NA,NA
OmyCOLU23S_0424,44730,720,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999991973,Small,6,NA,NA
OmyCOLU23S_0425,44730,780,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999909355,Large,6,NA,NA
OmyCOLU23S_0426,44730,680,1,,F,PBT,AD,Wells2019,Wells,2019,Up-C,UPSALM,0.777028598,Small,6,OmyWellsPBT19-0174,OmyWellsPBT19-0236
OmyCOLU23S_0427,44730,650,1,,M,PBT,AD,2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2019,Snake,MGILCS,0.846745907,Small,6,OmyWALL19S_0689,OmyWALL19S_0652
OmyCOLU23S_0428,44730,750,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999894,Small,6,NA,NA
OmyCOLU23S_0385,44731,760,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999924,Small,6,NA,NA
OmyCOLU23S_0390,44731,760,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.99999803,Small,6,NA,NA
OmyCOLU23S_0402,44731,670,1,,F,PBT,AD,Deschutes2019,Deschutes,2019,Mid-C,MGILCS,0.684716753,Small,6,OmyPBT19-RBHSu-0109,OmyPBT19-RBHSu-0009
OmyCOLU23S_0455,44731,680,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999998043,Small,6,NA,NA
OmyCOLU23S_0456,44731,660,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,1,Small,6,NA,NA
OmyCOLU23S_0457,44731,700,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999978,Small,6,NA,NA
OmyCOLU23S_0458,44731,700,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999816,Small,6,OmyPBT19SkSU-2371,OmyPBT19SkSU-2376
OmyCOLU23S_0459,44731,710,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999878,Small,6,NA,NA
OmyCOLU23S_0460,44731,720,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999951,Small,6,NA,NA
OmyCOLU23S_0490,44731,680,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999981761,Small,6,NA,NA
OmyCOLU23S_0491,44731,650,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999862,Small,6,NA,NA
OmyCOLU23S_0492,44731,670,1,,F,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999999892,Small,6,NA,NA
OmyCOLU23S_0493,44731,700,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999967,Small,6,OmyPBT19SkSU-2143,OmyPBT19SkSU-2145
OmyCOLU23S_0494,44731,750,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999974531,Small,6,OmyPBT19SkSU-2051,OmyPBT19SkSU-2056
OmyCOLU23S_0495,44731,740,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999999,Small,6,OmyPBT19SkSU-2143,OmyPBT19SkSU-2145
OmyCOLU23S_0391,44733,660,1,,F,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999345,Small,6,OmyPBT19SkSU-2081,OmyPBT19SkSU-2086
OmyCOLU23S_0403,44733,750,1,,M,PBT,AD,Skamania2019,Skamania,2019,SKAMAN,SKAMAN,0.999999981,Small,6,OmyPBT19SkSU-2471,OmyPBT19SkSU-2474
OmyCOLU23S_0416,44733,860,1,,M,GSI,AD,Unassigned,Unassigned-SKAMAN,,SKAMAN,SKAMAN,0.999998088,Large,6,NA,NA
