pbt_Rgroup,tagrate
2009-SHOB-PAHS-PantherCr-EggBox,1
2010-NIAG-PAHS-PahsimeroiR-AdClip,0.9645
2011-CLWH-DWOR-SFClearwaterR-AdClip,0.9894
2011-CLWH-SFCR-SFClearwaterR-AdClip,0.7391
2011-CLWH-SFCR-SFClearwaterR-NoClip,1
2011-DWOR-DWOR-UNK,0.9837
2011-HNFH-EFNA-EastForkSalmonR-NoClip,1
2011-LYON-CGRW-CottonWoodGR-WA,0.9791
2011-LYON-TOUW-TouchetR-WA,1
2011-MVFH-DWOR-PahsimeroiR-NoClip,0.9913
2011-MVFH-USAL-PahsimeroiR-NoClip,1
2011-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,0.8739
2011-SHOB-PAHS-BeaverCr-EggBox,0.7979
2011-WALL-WALL-UNK,0.9917
2012-CLWH-DWOR-SFClearwaterR-AdClip,0.9913
2012-CLWH-DWOR-SFClearwaterR-NoClip,0.9608
2012-CLWH-SFCR-SFClearwaterR-AdClip,0.9855
2012-CLWH-SFCR-SFClearwaterR-NoClip,1
2012-DWOR-DWOR-LoloCr,1
2012-DWOR-DWOR-NFClearwaterR,0.5479
2012-DWOR-DWOR-NFClearwaterR-AdClip/ClearCr-AdClip,0.9182
2012-DWOR-DWOR-NFClearwaterR-AdClip/SFClearwaterR-AdClip,0.9771
2012-HNFH-EFNA-EastForkSalmonR-NoClip,0.9412
2012-HNFH-SAWT-McNabbUpperSalmonR-AdClip,1
2012-HNFH-SAWT-SawtoothFH-AdClip,1
2012-HNFH-SAWT-YankeeForkR-AdClip,1
2012-LSCR-LSCR-UNK,0.9776
2012-LYON-CGRW-CottonWoodGR-WA,1
2012-LYON-LYON-LyonsFerry,1
2012-LYON-TOUW-TouchetR-WA,1
2012-LYON-TUCA-TucannonR-WA,0.8824
2012-MVFH-DWOR-LittleSalmonR-AdClip,0.9796
2012-MVFH-DWOR-PahsimeroiR-NoClipCWT,0.9911
2012-MVFH-DWOR-SquawCr-AdClip,1
2012-MVFH-DWOR-YankeeForkR-AdClip,0.9825
2012-MVFH-DWOR-YankeeForkR-NoClip,0.9848
2012-MVFH-PAHS-LittleSalmonR-AdClip,1
2012-MVFH-PAHS-UpperSalmonR-BelowPahsimeoriR-AdClip,0.9833
2012-MVFH-USAL-PahsimeroiR-NoClip,1
